Chet Faker,Built On Glass
Chambers (Passing Train),1
Down From The Rafters,1
[Animal],1
Seven White Horses,1
Xtalk,1
No Sound,1
Bad Self Portraits,1
Stop Your Crying,1
Better Than,1
Rabid Animal,1
You Go Down Smooth,1
Use Me Up,1
Bobby Tanqueray,1
Just Ask,1
Seventeen,1
What About Me,1
Rental Love,1
Introduction - Live From Spotify NYC !FSL 2014,1
Vagabond,2
Commentary!FSLInterview,1
Reflections,2
Coffins,2
Riptide,1
No Need For Dreaming,2
The Singer Addresses His Audience,1
Cavalry Captain,1
Philomena,1
Make You Better,1
Lake Song,1
Till The Water’s All Long Gone,1
The Wrong Year,1
Carolina Low,1
Better Not Wake The Baby,1
Anti-Summersong,1
Easy Come!CMA Easy Go,1
Mistral,1
12!FSL17!FSL12,1
A Beginning Song,1
Summer,1
Mural,1
Blur My Hands (feat!PRD Guy Sebastian),1
Dots & Lines,1
Fall,1
Prisoner 1 & 2 (feat!PRD Ayesha Jaco),1
Body Of Work (feat!PRD Troi & Terrace Martin),1
Little Death (feat!PRD Nikki Jean),1
No Scratches (feat!PRD Nikki Jean),1
Winter,1
Chopper (feat!PRD Billy Blue!CMA Buk of Psychodrama!CMA Trouble!CMA Trae Tha Truth!CMA Fam Lay & Glasses Malone),1
Deliver,1
Madonna (And Other Mothers In The Hood) [feat!PRD Nikki Jean],1
Adoration Of The Magi (feat!PRD Crystal `Røvél` Torres),1
They!PRDResurrect!PRDOver!PRDNew!PRD (feat!PRD Ab-Soul & Troi),1
Spring,1
Jeopardy,1
Oh My Darling Don`t Cry,1
Blockbuster Night!CMA Pt!PRD 1,1
Close Your Eyes (And Count to Fuck),1
All My Life,1
Lie!CMA Cheat!CMA Steal,1
Early,1
All Due Respect,1
Love Again (Akinyele Back),1
Crown,1
Angel Duster,1
Ain`t That Easy,1
1000 Deaths,1
The Charade,1
Sugah Daddy,1
Really Love,1
Back to the Future (Part I),1
Till It`s Done (Tutu),1
Prayer,1
Betray My Heart,1
The Door,1
Back to the Future (Part II),1
Another Life,1
Hurricane,2
Black Sun,1
Reconfiguration,1
Through The Dark,1
Cycle,1
Morning,1
Heart Is A Drum,1
Say Goodbye,1
Blue Moon,1
Unforgiven,1
Wave,1
Don`t Let It Go,1
Blackbird Chain,1
Phase,1
Turn Away,1
Country Down,1
Waking Light,1
Don`t Wanna Fight,1
No Room In Frame,1
Our Own House,1
Not Your Way,1
Oceans,1
Best I Can Do,1
Box Around The Sun,1
Imagination Infatuation,1
Queens,1
FourFiveSeconds,1
Only One,1
Don`t Worry Baby,1
Open Season,1
Oak Tree,1
Tell Me You Love Me,1
Money On My Mind,1
Southern Sun,1
Old Town Blues,1
Harlequin Dream,1
Three Headed Woman,1
Bridges,1
A Moment`s Grace,1
End Of The Line,1
Back Down The Black,1
Real Estate,1
Stranger,1
Arrow Flight,1
Putting The Dog To Sleep,1
Palace,1
Seasons (Waiting On You),2
Digital Witness - DARKSIDE Remix,1
Birth In Reverse,1
Drive (Los Angeles),1
Eskimo Kiss,1
Taking Pictures Of You,1
Like A Million,1
What Love Is,1
Cool Kids,1
Lazaretto,1
One Million Lovers,1
Plastic (Mid-City Island Version),1
The Right Thing,1
Old Robot,1
The Afternoon (As Bad As It Seems),1
Since Last Wednesday,1
Graveyard`s Full,1
So Real,1
Aliens,1
Shake Down,1
Baby Come On,1
Papaoutai,1
Ezra`s Interlude (feat!PRD Ezra Koenig),1
Lost On The Way Home (feat!PRD Solange),1
Stolen Dance,1
Better Man - Acoustic,1
Some Things Never Seem To Fucking Work,1
Sandcastle Disco,1
Acid Rain,1
Salad Days,1
Rattle the Windows,1
Holy Night,1
Heartache Fetish,1
Glass,1
Valium,1
Dangerous (feat!PRD Joywave),1
Tell It How It Is,1
Just One Drink,1
My Lady (feat!PRD Iluka),1
Cayucos,1
High School Lover,1
A Summer Thing,1
East Coast Girl,1
Every Girl - Bonus Track,1
Hunger Of The Pine,1
Cheap Sunglasses,1
405,1
Lost In The Light,1
Caught Me Thinkin,1
You`re Too Weird,1
Had It All,1
Say You`ll Be There,1
Big Black Car,1
Harlem,1
Oh,1
Left Hand Free,1
You Put A Smell On Me - Nicolas Jaar Remix,1
Every Other Freckle,1
Gotta Get Away,1
Tear the House Up (feat!PRD Zebra Katz),1
Battle Cry,1
Radioactive,1
Drop the Game,3
Too Close,1
Habits (Stay High),1
Relax My Beloved,2
Up All Night,2
Tiptoe,1
It`s Time,1
Demons,1
On Top Of The World,1
Amsterdam,1
Hear Me,1
Every Night,1
Bleeding Out,1
Underdog,1
Nothing Left To Say !FSL Rocks - Medley,1
Cha-Ching (Till We Grow Older),1
Treading Water,1
Humming Bird,1
Hands Are Clever,1
Tight Rope,1
Whispering,1
I Love You,1
Sanctuary,1
I Won`t Let You Down,1
Fall Underneath,1
Hung On Tight,1
Isolate,1
Ghost,1
Feel The Ocean Hold Me Under,1
Too Soon,1
Beat 0033,1
The Sun I,1
The Sun II,1
Sleep,1
Union,1
The Sun III,1
What About Us,2
This Song Is Not About A Girl,1
Spin with the World,1
Tell Me,1
Fly,1
Bring Back the Fire,1
Colours,1
Until Dawn,1
Somewhere Anywhere,1
Be on Our Way,1
Rise and Fall,1
The Weight of Imagination,1
Moments We Breathe,1
Blue Mountain,1
I`ll Be Here,1
Lady Listen,1
Go Go Chaos,1
Karma,1
Brother,1
Sand,1
The White Line,1
Hope And The Devil,1
Something We Should Know,1
Give,1
To Dust,1
Fall Together,1
Bullet In The Barrel,1
Honey,1
Big City Lights,1
Other Side,1
Evolution,1
Beautiful Wild,1
The Keeper,1
Wake Me Up,1
Inner Voice,1
Good Lovin,1
Blue Tone Black Heart,1
Kalimba,1
Dreamscape,1
Fear Like You,1
Mahal feat!PRD Chet Faker,1
Empathy,1
Atonement,1
Sympathy,1
I`ll Write You,1
Ode,1
One Lonely Kid,1
If Things Don`t Work Out,1
Next to You,1
Help Me Out,1
What It Meant to Me,1
Starving,1
Dont Let Me Fall Asleep,1
Im Tired of This,1
All We Do,1
At Once,1
Deathly,1
Drowning in My Swimming Pool,1
Only a Few Minutes Now,1
Exulansis,1
Heartfelt,1
Jacob !FSL Out of It,1
Left in the Snow,1
Sick,1
Six Flags,1
I`ll Miss You,1
The Self,1
Who Do You Love,1
Like You Wanted,1
Nothing,1
Drown,1
I Don`t Have a Choice,1
I`m Just Waiting,1
Fell,1
I Loved Every Moment,1
That Silence,1
Should,1
Their Eyes,1
The Open,1
All They Ever Wanted,1
A Time to Wait,1
Artists,1
Dark Places with Weird Shapes,1
Some People Are Scared,1
A Reason,1
Home,1
The Don`t Know,1
Forget,1
This Thing Was Not Living!CMA But Seeking To Live,1
Chasing Shadows (feat!PRD Oneira),1
Abandoned,1
Not To Condemn The World,1
Folds,1
Sinking (feat!PRD Nori),1
Golden,1
We`ve Never Met but Can We Have a Cup of Coffee or Something,1
just ask,1
Will You Stay Here with Me,1
Beatiful Love,1
Won`t Leave You,1
Sorry for Not Answering the Phone I`m Too Busy Trying to Fly Away,1
I Need a Cup of Coffee and Some Bread to Wake Up,1
I`m sorry (feat!PRD shiloh),1
Flowers,2
Park (Tape Version),1
Comet,1
I Thought We Were Lovers (feat!PRD Basil),1
For You,1
I Exist I Exist I Exist,1
Letdown,1
We Can`t Be Friends,1
Again,1
Deadringer,1
Counting Worms,1
Thank God,1
Stargazing,1
Porcelain,1
I Can`t Feel My Face,1
No Waves,1
Burdened,1
Your Love Will Set You Free - C2`s Set U Free RMX,1
Pretty Pimpin - Live from Spotify NYC,1
Left on Laura!CMA Left on Lisa,1
Red Cow,1
Find Solace Bayharbour,1
The Brain Dance,1
Arithmophobia,1
Eyes Up,1
Balancing Survival and Happiness (Part I),1
Self Control,1
Chillin!PRD!PRD!PRDkillin,1
Oblivions Peak,1
Doobie Ashtray,1
FML,1
Real Friends,1
Groovin` Slowly,1
Weird Fishes!FSL Arpeggi,1
Cafo,1
